Sample,totalMOTU,Method,,
A1.02.R1,3946,UCLUST,,
A1.04.R1,4288,UCLUST,,
A1.06.R1,3125,UCLUST,,
A1.06.R2,4505,UCLUST,,
A1.100,291,UCLUST,,
A1.20,2792,UCLUST,,
A1.200,2342,UCLUST,,
A1.350,2931,UCLUST,,
A1.50,2849,UCLUST,,
A2.100,4100,UCLUST,,
A2.20,3126,UCLUST,,
A2.200,2533,UCLUST,,
A2.350,2631,UCLUST,,
A2.50,3278,UCLUST,,
A4.100,802,UCLUST,,
A4.20,1874,UCLUST,,
A4.35,2977,UCLUST,,
A4.50,3076,UCLUST,,
A5.100,4330,UCLUST,,
A5.20,4445,UCLUST,,
A5.200,3565,UCLUST,,
A5.35,3656,UCLUST,,
A5.350,1278,UCLUST,,
A5.50,2662,UCLUST,,
A6.100,4221,UCLUST,,
A6.20,1377,UCLUST,,
A6.37,3891,UCLUST,,
AGK.01,3708,UCLUST,,
AGK.02,2405,UCLUST,,
ALX.01,3962,UCLUST,,
AMN.01,1049,UCLUST,,
B1.200A.R2,1420,UCLUST,,
B1.200B.R2,3666,UCLUST,,
B1.200C.R1,712,UCLUST,,
B1.200C.R2,3227,UCLUST,,
B1.500A.R1,3279,UCLUST,,
B1.500B.R1,2755,UCLUST,,
B1.500B.R2,2719,UCLUST,,
B2.50.R2,2827,UCLUST,,
BF003,2817,UCLUST,,
BF005,4748,UCLUST,,
BF011.R2,3591,UCLUST,,
BF015,3647,UCLUST,,
BNK.01,2602,UCLUST,,
BNK.02,3078,UCLUST,,
BNK.03,2580,UCLUST,,
BNK.04,2098,UCLUST,,
BNK.05,3365,UCLUST,,
BNK.06,2324,UCLUST,,
BNK.07,3974,UCLUST,,
BPT.01,2203,UCLUST,,
BPT.02,3626,UCLUST,,
BPT.03,3222,UCLUST,,
BPT.04,3789,UCLUST,,
BPT.05,4713,UCLUST,,
CPY.02,6136,UCLUST,,
CPY.03,3887,UCLUST,,
DF002.R1,1133,UCLUST,,
DF002.R2,4309,UCLUST,,
DF006.R1,1909,UCLUST,,
DF006.R2,2863,UCLUST,,
DF007.R2,599,UCLUST,,
DOL.01,2481,UCLUST,,
DOL.03,3722,UCLUST,,
DOL.04,2687,UCLUST,,
DOL.05,1923,UCLUST,,
DWT.10.R1,19,UCLUST,,
DWT.10.R2,3347,UCLUST,,
ESC.03,4555,UCLUST,,
ESC.04,3580,UCLUST,,
FRK.01,4442,UCLUST,,
FRK.02,3096,UCLUST,,
FRK.03,2380,UCLUST,,
FRK.04,1712,UCLUST,,
FRK.05,6137,UCLUST,,
FRK.06,2134,UCLUST,,
FRK.07,3455,UCLUST,,
GRY.02.R1,2969,UCLUST,,
GRY.02.R2,2254,UCLUST,,
GRY.04.R1,3490,UCLUST,,
GRY.04.R2,3452,UCLUST,,
GRY.06.R1,2597,UCLUST,,
GRY.06.R2,4083,UCLUST,,
HC010.R2,2459,UCLUST,,
HC020,903,UCLUST,,
HC028,1518,UCLUST,,
HC030,3634,UCLUST,,
HN015.R2,35,UCLUST,,
HN016,3412,UCLUST,,
HN025,3275,UCLUST,,
HN029.R2,1713,UCLUST,,
HS001,1948,UCLUST,,
HS009,3589,UCLUST,,
HS011,4490,UCLUST,,
KF003.R2,1852,UCLUST,,
KF011.R1,3810,UCLUST,,
KF011.R2,3318,UCLUST,,
KF015.R2,371,UCLUST,,
KF023.R1,4540,UCLUST,,
KF023.R2,4335,UCLUST,,
KUG.01,3858,UCLUST,,
KUG.02,4679,UCLUST,,
KUG.03,4311,UCLUST,,
KUG.04,4445,UCLUST,,
KUG.05,5175,UCLUST,,
MNT.03,994,UCLUST,,
MNT.04,2947,UCLUST,,
MNT.05,2488,UCLUST,,
NTC.01,4480,UCLUST,,
PWS.01,786,UCLUST,,
SF007.R1,4112,UCLUST,,
SF007.R2,518,UCLUST,,
SF009.R1,4751,UCLUST,,
SF009.R2,4002,UCLUST,,
SF020,199,UCLUST,,
SMO.01,5491,UCLUST,,
TBS.04.R1,4387,UCLUST,,
TBS.04.R2,3608,UCLUST,,
TBS.100,5202,UCLUST,,
TBS.200,3982,UCLUST,,
TBS.350,2234,UCLUST,,
TBS.50,4178,UCLUST,,
TF003.R1,4245,UCLUST,,
WIS.01,4374,UCLUST,,
WLK.01,181,UCLUST,,
WLK.02,1648,UCLUST,,
WLK.03,78,UCLUST,,
A1.02.R1,3763,VSearch,,
A1.04.R1,5594,VSearch,,
A1.06.R1,3553,VSearch,,
A1.06.R2,5700,VSearch,,
A1.100,197,VSearch,,
A1.20,2911,VSearch,,
A1.200,2666,VSearch,,
A1.350,4647,VSearch,,
A1.50,2396,VSearch,,
A2.100,3303,VSearch,,
A2.20,2596,VSearch,,
A2.200,3121,VSearch,,
A2.350,1977,VSearch,,
A2.50,4265,VSearch,,
A4.100,633,VSearch,,
A4.20,1930,VSearch,,
A4.35,3366,VSearch,,
A4.50,1983,VSearch,,
A5.100,5292,VSearch,,
A5.20,3839,VSearch,,
A5.200,3195,VSearch,,
A5.35,5499,VSearch,,
A5.350,990,VSearch,,
A5.50,1945,VSearch,,
A6.100,3146,VSearch,,
A6.20,1669,VSearch,,
A6.37,3599,VSearch,,
AGK.01,3523,VSearch,,
AGK.02,1624,VSearch,,
ALX.01,4941,VSearch,,
AMN.01,801,VSearch,,
B1.200A.R2,1122,VSearch,,
B1.200B.R2,2849,VSearch,,
B1.200C.R1,672,VSearch,,
B1.200C.R2,2264,VSearch,,
B1.500A.R1,3638,VSearch,,
B1.500B.R1,2199,VSearch,,
B1.500B.R2,1970,VSearch,,
B2.50.R2,2666,VSearch,,
BF003,2470,VSearch,,
BF005,4735,VSearch,,
BF011.R2,3532,VSearch,,
BF015,3172,VSearch,,
BNK.01,1912,VSearch,,
BNK.02,2110,VSearch,,
BNK.03,2459,VSearch,,
BNK.04,1893,VSearch,,
BNK.05,2782,VSearch,,
BNK.06,2969,VSearch,,
BNK.07,4526,VSearch,,
BPT.01,1810,VSearch,,
BPT.02,3870,VSearch,,
BPT.03,2613,VSearch,,
BPT.04,3333,VSearch,,
BPT.05,4163,VSearch,,
CPY.02,6878,VSearch,,
CPY.03,4894,VSearch,,
DF002.R1,1145,VSearch,,
DF002.R2,4213,VSearch,,
DF006.R1,1435,VSearch,,
DF006.R2,2697,VSearch,,
DF007.R2,748,VSearch,,
DOL.01,2354,VSearch,,
DOL.03,3065,VSearch,,
DOL.04,2317,VSearch,,
DOL.05,1738,VSearch,,
DWT.10.R1,117,VSearch,,
DWT.10.R2,3079,VSearch,,
ESC.03,3573,VSearch,,
ESC.04,3276,VSearch,,
FRK.01,3997,VSearch,,
FRK.02,2938,VSearch,,
FRK.03,2424,VSearch,,
FRK.04,1719,VSearch,,
FRK.05,4798,VSearch,,
FRK.06,1595,VSearch,,
FRK.07,3003,VSearch,,
GRY.02.R1,2425,VSearch,,
GRY.02.R2,1735,VSearch,,
GRY.04.R1,4978,VSearch,,
GRY.04.R2,3524,VSearch,,
GRY.06.R1,2732,VSearch,,
GRY.06.R2,4545,VSearch,,
HC010.R2,2731,VSearch,,
HC020,551,VSearch,,
HC028,1679,VSearch,,
HC030,3676,VSearch,,
HN015.R2,149,VSearch,,
HN016,4494,VSearch,,
HN025,2828,VSearch,,
HN029.R2,2361,VSearch,,
HS001,1463,VSearch,,
HS009,3035,VSearch,,
HS011,4704,VSearch,,
KF003.R2,1556,VSearch,,
KF011.R1,3674,VSearch,,
KF011.R2,3522,VSearch,,
KF015.R2,402,VSearch,,
KF023.R1,4106,VSearch,,
KF023.R2,3883,VSearch,,
KUG.01,3608,VSearch,,
KUG.02,4352,VSearch,,
KUG.03,4934,VSearch,,
KUG.04,4360,VSearch,,
KUG.05,5666,VSearch,,
MNT.03,1197,VSearch,,
MNT.04,2965,VSearch,,
MNT.05,2023,VSearch,,
NTC.01,4312,VSearch,,
PWS.01,959,VSearch,,
SF007.R1,4071,VSearch,,
SF007.R2,473,VSearch,,
SF009.R1,4119,VSearch,,
SF009.R2,3669,VSearch,,
SF020,307,VSearch,,
SMO.01,4655,VSearch,,
TBS.04.R1,4244,VSearch,,
TBS.04.R2,5185,VSearch,,
TBS.100,4362,VSearch,,
TBS.200,3393,VSearch,,
TBS.350,2522,VSearch,,
TBS.50,3721,VSearch,,
TF003.R1,3719,VSearch,,
WIS.01,3888,VSearch,,
WLK.01,339,VSearch,,
WLK.02,1351,VSearch,,
WLK.03,219,VSearch,,
A1.02.R1,256,DADA2,,
A1.04.R1,148,DADA2,,
A1.06.R1,224,DADA2,,
A1.06.R2,347,DADA2,,
A1.100,11,DADA2,,
A1.20,232,DADA2,,
A1.200,137,DADA2,,
A1.350,54,DADA2,,
A1.50,26,DADA2,,
A2.100,110,DADA2,,
A2.20,65,DADA2,,
A2.200,138,DADA2,,
A2.350,124,DADA2,,
A2.50,32,DADA2,,
A4.100,47,DADA2,,
A4.20,105,DADA2,,
A4.35,152,DADA2,,
A4.50,86,DADA2,,
A5.100,157,DADA2,,
A5.20,159,DADA2,,
A5.200,231,DADA2,,
A5.35,101,DADA2,,
A5.350,119,DADA2,,
A5.50,66,DADA2,,
A6.100,218,DADA2,,
A6.20,36,DADA2,,
A6.37,228,DADA2,,
AGK.01,195,DADA2,,
AGK.02,109,DADA2,,
ALX.01,130,DADA2,,
AMN.01,84,DADA2,,
B1.200A.R2,57,DADA2,,
B1.200B.R2,170,DADA2,,
B1.200C.R1,61,DADA2,,
B1.200C.R2,159,DADA2,,
B1.500A.R1,78,DADA2,,
B1.500B.R1,137,DADA2,,
B1.500B.R2,63,DADA2,,
B2.50.R2,181,DADA2,,
BF003,103,DADA2,,
BF005,222,DADA2,,
BF011.R2,362,DADA2,,
BF015,184,DADA2,,
BNK.01,179,DADA2,,
BNK.02,438,DADA2,,
BNK.03,165,DADA2,,
BNK.04,230,DADA2,,
BNK.05,544,DADA2,,
BNK.06,128,DADA2,,
BNK.07,266,DADA2,,
BPT.01,112,DADA2,,
BPT.02,204,DADA2,,
BPT.03,159,DADA2,,
BPT.04,294,DADA2,,
BPT.05,267,DADA2,,
CPY.02,254,DADA2,,
CPY.03,202,DADA2,,
DF002.R1,128,DADA2,,
DF002.R2,451,DADA2,,
DF006.R1,100,DADA2,,
DF006.R2,113,DADA2,,
DF007.R2,37,DADA2,,
DOL.01,113,DADA2,,
DOL.03,361,DADA2,,
DOL.04,185,DADA2,,
DOL.05,75,DADA2,,
DWT.10.R1,1,DADA2,,
DWT.10.R2,120,DADA2,,
ESC.03,165,DADA2,,
ESC.04,170,DADA2,,
FRK.01,199,DADA2,,
FRK.02,116,DADA2,,
FRK.03,111,DADA2,,
FRK.04,44,DADA2,,
FRK.05,207,DADA2,,
FRK.06,66,DADA2,,
FRK.07,111,DADA2,,
GRY.02.R1,150,DADA2,,
GRY.02.R2,114,DADA2,,
GRY.04.R1,126,DADA2,,
GRY.04.R2,108,DADA2,,
GRY.06.R1,165,DADA2,,
GRY.06.R2,575,DADA2,,
HC010.R2,66,DADA2,,
HC020,25,DADA2,,
HC028,25,DADA2,,
HC030,107,DADA2,,
HN015.R2,3,DADA2,,
HN016,91,DADA2,,
HN025,96,DADA2,,
HN029.R2,60,DADA2,,
HS001,53,DADA2,,
HS009,116,DADA2,,
HS011,140,DADA2,,
KF003.R2,100,DADA2,,
KF011.R1,144,DADA2,,
KF011.R2,74,DADA2,,
KF015.R2,35,DADA2,,
KF023.R1,245,DADA2,,
KF023.R2,270,DADA2,,
KUG.01,491,DADA2,,
KUG.02,551,DADA2,,
KUG.03,279,DADA2,,
KUG.04,267,DADA2,,
KUG.05,480,DADA2,,
MNT.03,54,DADA2,,
MNT.04,243,DADA2,,
MNT.05,242,DADA2,,
NTC.01,389,DADA2,,
PWS.01,89,DADA2,,
SF007.R1,313,DADA2,,
SF007.R2,34,DADA2,,
SF009.R1,225,DADA2,,
SF009.R2,301,DADA2,,
SF020,15,DADA2,,
SMO.01,299,DADA2,,
TBS.04.R1,193,DADA2,,
TBS.04.R2,201,DADA2,,
TBS.100,503,DADA2,,
TBS.200,179,DADA2,,
TBS.350,176,DADA2,,
TBS.50,342,DADA2,,
TF003.R1,255,DADA2,,
WIS.01,227,DADA2,,
WLK.01,21,DADA2,,
WLK.02,71,DADA2,,
WLK.03,8,DADA2,,
A1.02.R1,304,Deblur,,
A1.04.R1,176,Deblur,,
A1.06.R1,271,Deblur,,
A1.06.R2,357,Deblur,,
A1.100,11,Deblur,,
A1.20,271,Deblur,,
A1.200,167,Deblur,,
A1.350,74,Deblur,,
A1.50,42,Deblur,,
A2.100,134,Deblur,,
A2.20,73,Deblur,,
A2.200,153,Deblur,,
A2.350,116,Deblur,,
A2.50,40,Deblur,,
A4.100,45,Deblur,,
A4.20,126,Deblur,,
A4.35,178,Deblur,,
A4.50,101,Deblur,,
A5.100,182,Deblur,,
A5.20,213,Deblur,,
A5.200,247,Deblur,,
A5.35,118,Deblur,,
A5.350,103,Deblur,,
A5.50,89,Deblur,,
A6.100,268,Deblur,,
A6.20,36,Deblur,,
A6.37,278,Deblur,,
AGK.01,249,Deblur,,
AGK.02,148,Deblur,,
ALX.01,187,Deblur,,
AMN.01,98,Deblur,,
B1.200A.R2,68,Deblur,,
B1.200B.R2,179,Deblur,,
B1.200C.R1,84,Deblur,,
B1.200C.R2,197,Deblur,,
B1.500A.R1,101,Deblur,,
B1.500B.R1,164,Deblur,,
B1.500B.R2,85,Deblur,,
B2.50.R2,230,Deblur,,
BF003,118,Deblur,,
BF005,244,Deblur,,
BF011.R2,352,Deblur,,
BF015,225,Deblur,,
BNK.01,198,Deblur,,
BNK.02,361,Deblur,,
BNK.03,185,Deblur,,
BNK.04,233,Deblur,,
BNK.05,433,Deblur,,
BNK.06,149,Deblur,,
BNK.07,257,Deblur,,
BPT.01,132,Deblur,,
BPT.02,282,Deblur,,
BPT.03,230,Deblur,,
BPT.04,391,Deblur,,
BPT.05,298,Deblur,,
CPY.02,302,Deblur,,
CPY.03,214,Deblur,,
DF002.R1,193,Deblur,,
DF002.R2,434,Deblur,,
DF006.R1,138,Deblur,,
DF006.R2,157,Deblur,,
DF007.R2,48,Deblur,,
DOL.01,139,Deblur,,
DOL.03,314,Deblur,,
DOL.04,226,Deblur,,
DOL.05,89,Deblur,,
DWT.10.R1,2,Deblur,,
DWT.10.R2,129,Deblur,,
ESC.03,165,Deblur,,
ESC.04,180,Deblur,,
FRK.01,227,Deblur,,
FRK.02,138,Deblur,,
FRK.03,138,Deblur,,
FRK.04,36,Deblur,,
FRK.05,235,Deblur,,
FRK.06,82,Deblur,,
FRK.07,144,Deblur,,
GRY.02.R1,201,Deblur,,
