OTU	Sample	Abundance	X.SampleID	BarcodeSequence	LinkerPrimerSequence	ReverseBarcode	ReversePrimerSequence	X18S_primer_mix	forward_primer	reverse_primer	primer_combo	final_qubit	normalized_sample_volume	TubeLabel	Year	Cruise	Subregion	Region	Transect	Sampling_gear	Sieve_size	Core_depth	Station	Depth	Latitude	Longitude	ChlA	Phaeo	CP_ratio	Porosity_pct_wt_wt	pct_gravel	pct_sand	pct_mud	pct_silt	pct_clay	Mean_Phi	d15N	d13C	CN_ratio	TOC	water_temp	water_salinity	Description	merge	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7	Method
New.CleanUp.ReferenceOTU747896	one	0.476955052	64	10.4015748	1	11.75590551	1	59.77165354	14.85826772	11.8976378	61.07874016	10.21230709	1.763991126	57.93700787	2013.267717	1.803149606	4.086614173	1.251968504	15.86614173	1.952755906	1.023622047	1.299212598	36.7480315	163.9622047	70.84920732	-141.81486	50.62992126	50.45669291	40.38582677	41.36220472	21.00787402	44.87401575	44.04724409	28.62204724	28.59055118	29.38582677	5.720551181	-22.96692913	9.150393701	15.24177165	-0.350787402	33.20826772	62.03149606	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_4__Eumetazoa	D_5__Bilateria	Annelida	UCLUST
New.CleanUp.ReferenceOTU158606	one	0.186774875	64	10.4015748	1	11.75590551	1	59.77165354	14.85826772	11.8976378	61.07874016	10.21230709	1.763991126	57.93700787	2013.267717	1.803149606	4.086614173	1.251968504	15.86614173	1.952755906	1.023622047	1.299212598	36.7480315	163.9622047	70.84920732	-141.81486	50.62992126	50.45669291	40.38582677	41.36220472	21.00787402	44.87401575	44.04724409	28.62204724	28.59055118	29.38582677	5.720551181	-22.96692913	9.150393701	15.24177165	-0.350787402	33.20826772	62.03149606	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_4__Eumetazoa	D_5__Bilateria	Nematoda	UCLUST
New.CleanUp.ReferenceOTU385327	one	0.081764897	64	10.4015748	1	11.75590551	1	59.77165354	14.85826772	11.8976378	61.07874016	10.21230709	1.763991126	57.93700787	2013.267717	1.803149606	4.086614173	1.251968504	15.86614173	1.952755906	1.023622047	1.299212598	36.7480315	163.9622047	70.84920732	-141.81486	50.62992126	50.45669291	40.38582677	41.36220472	21.00787402	44.87401575	44.04724409	28.62204724	28.59055118	29.38582677	5.720551181	-22.96692913	9.150393701	15.24177165	-0.350787402	33.20826772	62.03149606	1	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Dinoflagellata	D_4__Dinophyceae	D_5__Peridiniphycidae	Myzozoa (Dinoflagellates)	UCLUST
New.CleanUp.ReferenceOTU911305	one	0.096061968	64	10.4015748	1	11.75590551	1	59.77165354	14.85826772	11.8976378	61.07874016	10.21230709	1.763991126	57.93700787	2013.267717	1.803149606	4.086614173	1.251968504	15.86614173	1.952755906	1.023622047	1.299212598	36.7480315	163.9622047	70.84920732	-141.81486	50.62992126	50.45669291	40.38582677	41.36220472	21.00787402	44.87401575	44.04724409	28.62204724	28.59055118	29.38582677	5.720551181	-22.96692913	9.150393701	15.24177165	-0.350787402	33.20826772	62.03149606	1	D_0__Eukaryota	D_1__SAR	D_2__Stramenopiles	D_3__Ochrophyta	D_4__Diatomea	D_5__Bacillariophytina	Ochrophyta (Diatom)	UCLUST
New.CleanUp.ReferenceOTU338315	one	0.034753818	64	10.4015748	1	11.75590551	1	59.77165354	14.85826772	11.8976378	61.07874016	10.21230709	1.763991126	57.93700787	2013.267717	1.803149606	4.086614173	1.251968504	15.86614173	1.952755906	1.023622047	1.299212598	36.7480315	163.9622047	70.84920732	-141.81486	50.62992126	50.45669291	40.38582677	41.36220472	21.00787402	44.87401575	44.04724409	28.62204724	28.59055118	29.38582677	5.720551181	-22.96692913	9.150393701	15.24177165	-0.350787402	33.20826772	62.03149606	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_4__Eumetazoa	D_5__Bilateria	Arthropoda	UCLUST
New.CleanUp.ReferenceOTU135575	one	0.015707832	64	10.4015748	1	11.75590551	1	59.77165354	14.85826772	11.8976378	61.07874016	10.21230709	1.763991126	57.93700787	2013.267717	1.803149606	4.086614173	1.251968504	15.86614173	1.952755906	1.023622047	1.299212598	36.7480315	163.9622047	70.84920732	-141.81486	50.62992126	50.45669291	40.38582677	41.36220472	21.00787402	44.87401575	44.04724409	28.62204724	28.59055118	29.38582677	5.720551181	-22.96692913	9.150393701	15.24177165	-0.350787402	33.20826772	62.03149606	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_4__Eumetazoa	D_5__Bilateria	Nemertea	UCLUST
New.CleanUp.ReferenceOTU184039	one	0.006931221	64	10.4015748	1	11.75590551	1	59.77165354	14.85826772	11.8976378	61.07874016	10.21230709	1.763991126	57.93700787	2013.267717	1.803149606	4.086614173	1.251968504	15.86614173	1.952755906	1.023622047	1.299212598	36.7480315	163.9622047	70.84920732	-141.81486	50.62992126	50.45669291	40.38582677	41.36220472	21.00787402	44.87401575	44.04724409	28.62204724	28.59055118	29.38582677	5.720551181	-22.96692913	9.150393701	15.24177165	-0.350787402	33.20826772	62.03149606	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_4__Eumetazoa	D_5__Bilateria	Hemichordata	UCLUST
New.ReferenceOTU106439	one	0.005988025	64	10.4015748	1	11.75590551	1	59.77165354	14.85826772	11.8976378	61.07874016	10.21230709	1.763991126	57.93700787	2013.267717	1.803149606	4.086614173	1.251968504	15.86614173	1.952755906	1.023622047	1.299212598	36.7480315	163.9622047	70.84920732	-141.81486	50.62992126	50.45669291	40.38582677	41.36220472	21.00787402	44.87401575	44.04724409	28.62204724	28.59055118	29.38582677	5.720551181	-22.96692913	9.150393701	15.24177165	-0.350787402	33.20826772	62.03149606	1	D_0__Eukaryota	D_1__SAR	D_2__Rhizaria	D_3__Cercozoa	D_4__Thecofilosea	D_5__Cryomonadida	Cercozoa	UCLUST
Other_uclust	one	0.095062312	64	10.4015748	1	11.75590551	1	59.77165354	14.85826772	11.8976378	61.07874016	10.21230709	1.763991126	57.93700787	2013.267717	1.803149606	4.086614173	1.251968504	15.86614173	1.952755906	1.023622047	1.299212598	36.7480315	163.9622047	70.84920732	-141.81486	50.62992126	50.45669291	40.38582677	41.36220472	21.00787402	44.87401575	44.04724409	28.62204724	28.59055118	29.38582677	5.720551181	-22.96692913	9.150393701	15.24177165	-0.350787402	33.20826772	62.03149606		Other	Other	Other	Other	Other	Other	Other	UCLUST
JN936459.1.1772	one	0.470178509	64	10.4015748	1	11.75590551	1	59.77165354	14.85826772	11.8976378	61.07874016	10.21230709	1.763991126	57.93700787	2013.267717	1.803149606	4.086614173	1.251968504	15.86614173	1.952755906	1.023622047	1.299212598	36.7480315	163.9622047	70.84920732	-141.81486	50.62992126	50.45669291	40.38582677	41.36220472	21.00787402	44.87401575	44.04724409	28.62204724	28.59055118	29.38582677	5.720551181	-22.96692913	9.150393701	15.24177165	-0.350787402	33.20826772	62.03149606	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_4__Eumetazoa	D_5__Bilateria	Annelida	VSearch
