Sample,totalMOTU,Method
MEMB.nem.18,391,UCLUST
MEMB.nem.19,66,UCLUST
MEMB.nem.21,482,UCLUST
MEMB.nem.22,354,UCLUST
MEMB.nem.23,218,UCLUST
MEMB.nem.25,182,UCLUST
MEMB.nem.26,185,UCLUST
MEMB.nem.27,74,UCLUST
MEMB.nem.28,160,UCLUST
MEMB.nem.30,466,UCLUST
MEMB.nem.31,286,UCLUST
MEMB.nem.32,168,UCLUST
MEMB.nem.33,167,UCLUST
MEMB.nem.35,145,UCLUST
MEMB.nem.37,270,UCLUST
MEMB.nem.39,359,UCLUST
MEMB.nem.40,73,UCLUST
MEMB.nem.41,300,UCLUST
MEMB.nem.43,364,UCLUST
MEMB.nem.44,305,UCLUST
MEMB.nem.45,84,UCLUST
MEMB.nem.46,124,UCLUST
MEMB.nem.47,372,UCLUST
MEMB.nem.48,365,UCLUST
MEMB.nem.49,90,UCLUST
MEMB.nem.50,103,UCLUST
MEMB.nem.51,233,UCLUST
MEMB.nem.52,85,UCLUST
MEMB.nem.54,130,UCLUST
MEMB.nem.55,124,UCLUST
MEMB.nem.64,102,UCLUST
MEMB.nem.65,270,UCLUST
MEMB.nem.66,235,UCLUST
MEMB.nem.67,248,UCLUST
MEMB.nem.68,335,UCLUST
MEMB.nem.69,229,UCLUST
MEMB.nem.70,265,UCLUST
MEMB.nem.72,231,UCLUST
MEMB.nem.73,147,UCLUST
MEMB.nem.74,316,UCLUST
MEMB.nem.75,147,UCLUST
MEMB.nem.76,104,UCLUST
MEMB.nem.78,197,UCLUST
MEMB.nem.79,238,UCLUST
MEMB.nem.81,117,UCLUST
MEMB.nem.84,43,UCLUST
MEMB.nem.85,123,UCLUST
MEMB.nem.86,163,UCLUST
MEMB.nem.87,173,UCLUST
MEMB.nem.88,108,UCLUST
MEMB.nem.91,176,UCLUST
MEMB.nem.94,157,UCLUST
MEMB.nem.97,45,UCLUST
MEMB.nem.103,73,UCLUST
MEMB.nem.136,44,UCLUST
MEMB.nem.142,364,UCLUST
MEMB.nem.143,130,UCLUST
MEMB.nem.144,173,UCLUST
MEMB.nem.145,437,UCLUST
MEMB.nem.146,523,UCLUST
MEMB.nem.149,439,UCLUST
MEMB.nem.151,109,UCLUST
MEMB.nem.152,61,UCLUST
MEMB.nem.154,433,UCLUST
MEMB.nem.155,55,UCLUST
MEMB.nem.157,259,UCLUST
MEMB.nem.159,99,UCLUST
MEMB.nem.160,77,UCLUST
MEMB.nem.163,71,UCLUST
MEMB.nem.164,103,UCLUST
MEMB.nem.165,454,UCLUST
MEMB.nem.166,163,UCLUST
MEMB.nem.169,148,UCLUST
MEMB.nem.172,218,UCLUST
MEMB.nem.174,73,UCLUST
MEMB.nem.175,101,UCLUST
MEMB.nem.178,191,UCLUST
MEMB.nem.187,270,UCLUST
MEMB.nem.189,118,UCLUST
MEMB.nem.191,601,UCLUST
MEMB.nem.192,226,UCLUST
MEMB.nem.193,31,UCLUST
MEMB.nem.194,197,UCLUST
MEMB.nem.195,262,UCLUST
MEMB.nem.196,51,UCLUST
MEMB.nem.200,105,UCLUST
MEMB.nem.201,41,UCLUST
MEMB.nem.206,115,UCLUST
MEMB.nem.208,127,UCLUST
MEMB.nem.212,125,UCLUST
MEMB.nem.215,247,UCLUST
MEMB.nem.217,259,UCLUST
MEMB.nem.219,122,UCLUST
MEMB.nem.220,48,UCLUST
MEMB.nem.221,190,UCLUST
MEMB.nem.222,60,UCLUST
MEMB.nem.224,238,UCLUST
MEMB.nem.225,43,UCLUST
MEMB.nem.228,484,UCLUST
MEMB.nem.229,68,UCLUST
MEMB.nem.232,262,UCLUST
MEMB.nem.233,137,UCLUST
MEMB.nem.234,48,UCLUST
MEMB.nem.237,137,UCLUST
MEMB.nem.238,56,UCLUST
MEMB.nem.239,93,UCLUST
MEMB.nem.240,92,UCLUST
MEMB.nem.243,54,UCLUST
MEMB.nem.244,52,UCLUST
MEMB.nem.245,95,UCLUST
MEMB.nem.246,248,UCLUST
MEMB.nem.247,289,UCLUST
MEMB.nem.249,155,UCLUST
MEMB.nem.254,167,UCLUST
MEMB.nem.256,75,UCLUST
MEMB.nem.257,44,UCLUST
MEMB.nem.258,122,UCLUST
MEMB.nem.264,185,UCLUST
MEMB.nem.265,201,UCLUST
MEMB.nem.267,210,UCLUST
MEMB.nem.271,19,UCLUST
MEMB.nem.273,182,UCLUST
MEMB.nem.277,269,UCLUST
MEMB.nem.279,133,UCLUST
MEMB.nem.280,202,UCLUST
MEMB.nem.282,140,UCLUST
MEMB.nem.283,42,UCLUST
MEMB.nem.285,267,UCLUST
MEMB.nem.286,166,UCLUST
MEMB.nem.287,209,UCLUST
MEMB.nem.288,124,UCLUST
MEMB.nem.290,136,UCLUST
MEMB.nem.291,185,UCLUST
MEMB.nem.18,672,VSearch
MEMB.nem.19,101,VSearch
MEMB.nem.21,963,VSearch
MEMB.nem.22,382,VSearch
MEMB.nem.23,162,VSearch
MEMB.nem.25,255,VSearch
MEMB.nem.26,286,VSearch
MEMB.nem.27,94,VSearch
MEMB.nem.28,182,VSearch
MEMB.nem.30,887,VSearch
MEMB.nem.31,394,VSearch
MEMB.nem.32,177,VSearch
MEMB.nem.33,221,VSearch
MEMB.nem.35,166,VSearch
MEMB.nem.37,393,VSearch
MEMB.nem.39,579,VSearch
MEMB.nem.40,71,VSearch
MEMB.nem.41,530,VSearch
MEMB.nem.43,278,VSearch
MEMB.nem.44,296,VSearch
MEMB.nem.45,70,VSearch
MEMB.nem.46,130,VSearch
MEMB.nem.47,679,VSearch
MEMB.nem.48,561,VSearch
MEMB.nem.49,152,VSearch
MEMB.nem.50,67,VSearch
MEMB.nem.51,390,VSearch
MEMB.nem.52,89,VSearch
MEMB.nem.54,127,VSearch
MEMB.nem.55,166,VSearch
MEMB.nem.64,68,VSearch
MEMB.nem.65,343,VSearch
MEMB.nem.66,329,VSearch
MEMB.nem.67,282,VSearch
MEMB.nem.68,524,VSearch
MEMB.nem.69,290,VSearch
MEMB.nem.70,344,VSearch
MEMB.nem.72,228,VSearch
MEMB.nem.73,198,VSearch
MEMB.nem.74,339,VSearch
MEMB.nem.75,212,VSearch
MEMB.nem.76,128,VSearch
MEMB.nem.78,199,VSearch
MEMB.nem.79,289,VSearch
MEMB.nem.81,157,VSearch
MEMB.nem.84,36,VSearch
MEMB.nem.85,69,VSearch
MEMB.nem.86,170,VSearch
MEMB.nem.87,203,VSearch
MEMB.nem.88,116,VSearch
MEMB.nem.91,262,VSearch
MEMB.nem.94,239,VSearch
MEMB.nem.97,45,VSearch
MEMB.nem.103,69,VSearch
MEMB.nem.136,39,VSearch
MEMB.nem.142,647,VSearch
MEMB.nem.143,230,VSearch
MEMB.nem.144,175,VSearch
MEMB.nem.145,942,VSearch
MEMB.nem.146,1215,VSearch
MEMB.nem.149,895,VSearch
MEMB.nem.151,162,VSearch
MEMB.nem.152,69,VSearch
MEMB.nem.154,808,VSearch
MEMB.nem.155,56,VSearch
MEMB.nem.157,377,VSearch
MEMB.nem.159,73,VSearch
MEMB.nem.160,88,VSearch
MEMB.nem.163,70,VSearch
MEMB.nem.164,185,VSearch
MEMB.nem.165,945,VSearch
MEMB.nem.166,156,VSearch
MEMB.nem.169,151,VSearch
MEMB.nem.172,298,VSearch
MEMB.nem.174,59,VSearch
MEMB.nem.175,107,VSearch
MEMB.nem.178,213,VSearch
MEMB.nem.187,423,VSearch
MEMB.nem.189,128,VSearch
MEMB.nem.191,573,VSearch
MEMB.nem.192,285,VSearch
MEMB.nem.193,36,VSearch
MEMB.nem.194,190,VSearch
MEMB.nem.195,389,VSearch
MEMB.nem.196,37,VSearch
MEMB.nem.200,36,VSearch
MEMB.nem.201,38,VSearch
MEMB.nem.206,206,VSearch
MEMB.nem.208,254,VSearch
MEMB.nem.212,112,VSearch
