OTU	Sample	Abundance	SampleID	BarcodeSequence	LinkerPrimerSequence	ReverseBarcode	ReversePrimerSequence	X18S_primer_mix	forward_primer	reverse_primer	primer_combo	final_QuBit	normalized_sample_volume	NematodeOrder	NematodeFamily	NematodeGenus	NematodeID	FeedingGroup	MorphVoucher	Year	Subregion	Habitat	Depth	Latitude	Longitude	SampleSite	DNA_Extraction	PickedBy	phinchID	Description	merge	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7	Method
New.CleanUp.ReferenceOTU152666	one	0.9279519	114	6.568281938	1	12.70044053	1	114	6.621145374	13.46696035	114	101.2599119	3.179515419	1.643171806	9.779735683	21.51101322	22.97797357	2.290748899	1.559471366	2.356828194	1.255506608	1.511013216	5.911894273	8.779735683	4.074889868	7.352422907	1	1	114	1.511013216	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_4__Eumetazoa	D_5__Bilateria	Nematoda	UCLUST
New.CleanUp.ReferenceOTU32783	one	0.01457082	114	6.568281938	1	12.70044053	1	114	6.621145374	13.46696035	114	101.2599119	3.179515419	1.643171806	9.779735683	21.51101322	22.97797357	2.290748899	1.559471366	2.356828194	1.255506608	1.511013216	5.911894273	8.779735683	4.074889868	7.352422907	1	1	114	1.511013216	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Nucletmycea	D_3__Fungi	D_4__Dikarya	D_5__Ascomycota	Ascomycota (Fungi)	UCLUST
New.CleanUp.ReferenceOTU148378	one	0.011066764	114	6.568281938	1	12.70044053	1	114	6.621145374	13.46696035	114	101.2599119	3.179515419	1.643171806	9.779735683	21.51101322	22.97797357	2.290748899	1.559471366	2.356828194	1.255506608	1.511013216	5.911894273	8.779735683	4.074889868	7.352422907	1	1	114	1.511013216	1	D_0__Eukaryota	D_1__Archaeplastida	D_2__Chloroplastida	D_3__Charophyta	D_4__Phragmoplastophyta	D_5__Streptophyta	Embryophyta	UCLUST
New.CleanUp.ReferenceOTU108197	one	0.006912076	114	6.568281938	1	12.70044053	1	114	6.621145374	13.46696035	114	101.2599119	3.179515419	1.643171806	9.779735683	21.51101322	22.97797357	2.290748899	1.559471366	2.356828194	1.255506608	1.511013216	5.911894273	8.779735683	4.074889868	7.352422907	1	1	114	1.511013216	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_4__Eumetazoa	D_5__Bilateria	Annelida	UCLUST
New.ReferenceOTU12141	one	0.006505558	114	6.568281938	1	12.70044053	1	114	6.621145374	13.46696035	114	101.2599119	3.179515419	1.643171806	9.779735683	21.51101322	22.97797357	2.290748899	1.559471366	2.356828194	1.255506608	1.511013216	5.911894273	8.779735683	4.074889868	7.352422907	1	1	114	1.511013216	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Nucletmycea	D_3__Fungi	D_4__Dikarya	D_5__Basidiomycota	Basidiomycota (Fungi)	UCLUST
Other_uclust	one	0.032992883	114	6.568281938	1	12.70044053	1	114	6.621145374	13.46696035	114	101.2599119	3.179515419	1.643171806	9.779735683	21.51101322	22.97797357	2.290748899	1.559471366	2.356828194	1.255506608	1.511013216	5.911894273	8.779735683	4.074889868	7.352422907	1	1	114	1.511013216	1	Other	Other	Other	Other	Other	Other	Other	UCLUST
adac1882b9aa4f271efdc9fae9cc33cd38f8d395	one	0.927030878	114	6.568281938	1	12.70044053	1	114	6.621145374	13.46696035	114	101.2599119	3.179515419	1.643171806	9.779735683	21.51101322	22.97797357	2.290748899	1.559471366	2.356828194	1.255506608	1.511013216	5.911894273	8.779735683	4.074889868	7.352422907	1	1	114	1.511013216	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_4__Eumetazoa	D_5__Bilateria	Nematoda	VSearch
BDFN01003070.11614.13400	one	0.021384618	114	6.568281938	1	12.70044053	1	114	6.621145374	13.46696035	114	101.2599119	3.179515419	1.643171806	9.779735683	21.51101322	22.97797357	2.290748899	1.559471366	2.356828194	1.255506608	1.511013216	5.911894273	8.779735683	4.074889868	7.352422907	1	1	114	1.511013216	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Nucletmycea	D_3__Fungi	D_4__Dikarya	D_5__Basidiomycota	Basidiomycota (Fungi)	VSearch
HO782551.140.1373	one	0.009603049	114	6.568281938	1	12.70044053	1	114	6.621145374	13.46696035	114	101.2599119	3.179515419	1.643171806	9.779735683	21.51101322	22.97797357	2.290748899	1.559471366	2.356828194	1.255506608	1.511013216	5.911894273	8.779735683	4.074889868	7.352422907	1	1	114	1.511013216	1	D_0__Eukaryota	D_1__Archaeplastida	D_2__Chloroplastida	D_3__Charophyta	D_4__Phragmoplastophyta	D_5__Streptophyta	Embryophyta	VSearch
f48313ee626ae425ad7e4cda8c3f189eb9cad30b	one	0.006990311	114	6.568281938	1	12.70044053	1	114	6.621145374	13.46696035	114	101.2599119	3.179515419	1.643171806	9.779735683	21.51101322	22.97797357	2.290748899	1.559471366	2.356828194	1.255506608	1.511013216	5.911894273	8.779735683	4.074889868	7.352422907	1	1	114	1.511013216	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_4__Eumetazoa	D_5__Bilateria	Annelida	VSearch
