OTU	Sample	Abundance	SampleID	BarcodeSequence	LinkerPrimerSequence	ReverseBarcode	ReversePrimerSequence	X18S_primer_mix	forward_primer	reverse_primer	primer_combo	final_QuBit	normalized_sample_volume	NematodeOrder	NematodeFamily	NematodeGenus	NematodeID	FeedingGroup	MorphVoucher	Year	Subregion	Habitat	Depth	Latitude	Longitude	SampleSite	DNA_Extraction	PickedBy	phinchID	Description	merge	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7	Method
New.CleanUp.ReferenceOTU152666	one	0.9279518995513963	114	6.568281938325991	1	12.700440528634362	1	114	6.621145374449339	13.466960352422907	114	101.25991189427313	3.1795154185022025	1.6431718061674008	9.779735682819384	21.51101321585903	22.97797356828194	2.290748898678414	1.5594713656387664	2.356828193832599	1.2555066079295154	1.5110132158590308	5.9118942731277535	8.779735682819384	4.07488986784141	7.352422907488987	1	1	114	1.5110132158590308	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_4__Eumetazoa	D_5__Bilateria	D_6__Nematoda	UCLUST
New.CleanUp.ReferenceOTU32783	one	0.014570819744996827	114	6.568281938325991	1	12.700440528634362	1	114	6.621145374449339	13.466960352422907	114	101.25991189427313	3.1795154185022025	1.6431718061674008	9.779735682819384	21.51101321585903	22.97797356828194	2.290748898678414	1.5594713656387664	2.356828193832599	1.2555066079295154	1.5110132158590308	5.9118942731277535	8.779735682819384	4.07488986784141	7.352422907488987	1	1	114	1.5110132158590308	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Nucletmycea	D_3__Fungi	D_4__Dikarya	D_5__Ascomycota	D_6__Pezizomycotina	UCLUST
New.CleanUp.ReferenceOTU148378	one	0.011066763607694543	114	6.568281938325991	1	12.700440528634362	1	114	6.621145374449339	13.466960352422907	114	101.25991189427313	3.1795154185022025	1.6431718061674008	9.779735682819384	21.51101321585903	22.97797356828194	2.290748898678414	1.5594713656387664	2.356828193832599	1.2555066079295154	1.5110132158590308	5.9118942731277535	8.779735682819384	4.07488986784141	7.352422907488987	1	1	114	1.5110132158590308	1	D_0__Eukaryota	D_1__Archaeplastida	D_2__Chloroplastida	D_3__Charophyta	D_4__Phragmoplastophyta	D_5__Streptophyta	D_6__Embryophyta	UCLUST
New.CleanUp.ReferenceOTU108197	one	0.006912076297818123	114	6.568281938325991	1	12.700440528634362	1	114	6.621145374449339	13.466960352422907	114	101.25991189427313	3.1795154185022025	1.6431718061674008	9.779735682819384	21.51101321585903	22.97797356828194	2.290748898678414	1.5594713656387664	2.356828193832599	1.2555066079295154	1.5110132158590308	5.9118942731277535	8.779735682819384	4.07488986784141	7.352422907488987	1	1	114	1.5110132158590308	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_4__Eumetazoa	D_5__Bilateria	D_6__Annelida	UCLUST
New.ReferenceOTU12141	one	0.006505557516499584	114	6.568281938325991	1	12.700440528634362	1	114	6.621145374449339	13.466960352422907	114	101.25991189427313	3.1795154185022025	1.6431718061674008	9.779735682819384	21.51101321585903	22.97797356828194	2.290748898678414	1.5594713656387664	2.356828193832599	1.2555066079295154	1.5110132158590308	5.9118942731277535	8.779735682819384	4.07488986784141	7.352422907488987	1	1	114	1.5110132158590308	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Nucletmycea	D_3__Fungi	D_4__Dikarya	D_5__Basidiomycota	D_6__Agaricomycotina	UCLUST
adac1882b9aa4f271efdc9fae9cc33cd38f8d395	one	0.9270308780605964	114	6.568281938325991	1	12.700440528634362	1	114	6.621145374449339	13.466960352422907	114	101.25991189427313	3.1795154185022025	1.6431718061674008	9.779735682819384	21.51101321585903	22.97797356828194	2.290748898678414	1.5594713656387664	2.356828193832599	1.2555066079295154	1.5110132158590308	5.9118942731277535	8.779735682819384	4.07488986784141	7.352422907488987	1	1	114	1.5110132158590308	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_4__Eumetazoa	D_5__Bilateria	D_6__Nematoda	VSearch
BDFN01003070.11614.13400	one	0.02138461755428421	114	6.568281938325991	1	12.700440528634362	1	114	6.621145374449339	13.466960352422907	114	101.25991189427313	3.1795154185022025	1.6431718061674008	9.779735682819384	21.51101321585903	22.97797356828194	2.290748898678414	1.5594713656387664	2.356828193832599	1.2555066079295154	1.5110132158590308	5.9118942731277535	8.779735682819384	4.07488986784141	7.352422907488987	1	1	114	1.5110132158590308	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Nucletmycea	D_3__Fungi	D_4__Dikarya	D_5__Basidiomycota	D_6__Agaricomycotina	VSearch
HO782551.140.1373	one	0.009603049381986013	114	6.568281938325991	1	12.700440528634362	1	114	6.621145374449339	13.466960352422907	114	101.25991189427313	3.1795154185022025	1.6431718061674008	9.779735682819384	21.51101321585903	22.97797356828194	2.290748898678414	1.5594713656387664	2.356828193832599	1.2555066079295154	1.5110132158590308	5.9118942731277535	8.779735682819384	4.07488986784141	7.352422907488987	1	1	114	1.5110132158590308	1	D_0__Eukaryota	D_1__Archaeplastida	D_2__Chloroplastida	D_3__Charophyta	D_4__Phragmoplastophyta	D_5__Streptophyta	D_6__Embryophyta	VSearch
f48313ee626ae425ad7e4cda8c3f189eb9cad30b	one	0.0069903113438603256	114	6.568281938325991	1	12.700440528634362	1	114	6.621145374449339	13.466960352422907	114	101.25991189427313	3.1795154185022025	1.6431718061674008	9.779735682819384	21.51101321585903	22.97797356828194	2.290748898678414	1.5594713656387664	2.356828193832599	1.2555066079295154	1.5110132158590308	5.9118942731277535	8.779735682819384	4.07488986784141	7.352422907488987	1	1	114	1.5110132158590308	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_4__Eumetazoa	D_5__Bilateria	D_6__Annelida	VSearch
c628b495a3fec162815e34742cc5126afc6ee4a4	one	0.00614537759384146	114	6.568281938325991	1	12.700440528634362	1	114	6.621145374449339	13.466960352422907	114	101.25991189427313	3.1795154185022025	1.6431718061674008	9.779735682819384	21.51101321585903	22.97797356828194	2.290748898678414	1.5594713656387664	2.356828193832599	1.2555066079295154	1.5110132158590308	5.9118942731277535	8.779735682819384	4.07488986784141	7.352422907488987	1	1	114	1.5110132158590308	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Nucletmycea	D_3__Fungi	D_4__Dikarya	D_5__Ascomycota	D_6__Pezizomycotina	VSearch
9d54df7071a506a21c03c3a5226aead6	one	0.9428925279966898	114	6.568281938325991	1	12.700440528634362	1	114	6.621145374449339	13.466960352422907	114	101.25991189427313	3.1795154185022025	1.6431718061674008	9.779735682819384	21.51101321585903	22.97797356828194	2.290748898678414	1.5594713656387664	2.356828193832599	1.2555066079295154	1.5110132158590308	5.9118942731277535	8.779735682819384	4.07488986784141	7.352422907488987	1	1	114	1.5110132158590308	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_4__Eumetazoa	D_5__Bilateria	D_6__Nematoda	DADA2
fd1cbaa45f0e133798d9c5ec2496cc79	one	0.013990412014302015	114	6.568281938325991	1	12.700440528634362	1	114	6.621145374449339	13.466960352422907	114	101.25991189427313	3.1795154185022025	1.6431718061674008	9.779735682819384	21.51101321585903	22.97797356828194	2.290748898678414	1.5594713656387664	2.356828193832599	1.2555066079295154	1.5110132158590308	5.9118942731277535	8.779735682819384	4.07488986784141	7.352422907488987	1	1	114	1.5110132158590308	1	D_0__Eukaryota	D_1__Opisthokonta	D_2__Nucletmycea	D_3__Fungi	D_4__Dikarya	D_5__Ascomycota	D_6__Pezizomycotina	DADA2
